Customer,DBA Name,TDLR Number,City,State,Zip code
CALIBER WRECKER SERVICE LLC,,006598046C (Insurance not applied !),CHANNELVIEW,TX,77530
1ST CHOICE WRECKER SERVICE,"1ST CHOICE PAINT & BODY, INC",006096604C,TERRELL,TX,75160
1ST CHOICE WRECKER SERVICE,"1ST CHOICE PAINT & BODY, INC.",0612137VSF,TERRELL,TX,75160
1ST CHOICE WRECKER SERVICE LLC,,006529369C,SILSBEE,TX,77656
1ST CHOICE WRECKER SERVICE LLC,,0652937VSF,SILSBEE,TX,77656
1ST CHOICE WRECKER SERVICE LLC,,0655000VSF,SILSBEE,TX,77656
1STCHOICEWRECKERSERVICELLC,,0654581VSF,SILSBEE,TX,77656
24 HOUR WRECKER SERVICE INC.,,005052021C,LANCASTER,TX,75146
"24 HOUR WRECKER SERVICE, INC",,0514204VSF,LANCASTER,TX,75146
24/7 WRECKER SERVICE LLC,,006551087C,SAN BENITO,TX,78586
24/7 WRECKER SERVICE LLC,,0659192VSF,SAN BENITO,TX,78586
290 WRECKER SERVICE INC,HWY 290 WRECKER,0656637VSF,HOCKLEY,TX,77447
290 WRECKER SERVICE INC.,HWY 290 WRECKER,0650616VSF,HOCKLEY,TX,77447
"290 WRECKER SERVICE, INC.",HWY 290 WRECKER,0545753VSF,HOCKLEY,TX,77447
"290 WRECKER SERVICE, INC.",HWY 290 WRECKER,005697854C,WALLER,TX,77484
"290 WRECKER SERVICE, INC.",HWY 290 WRECKER SERVICE,0657944VSF (Insurance not applied !),HOCKLEY,TX,77447
"3 ACES WRECKER SERVICE, LLC",,006576510C,WALLISVILLE,TX,77597
"3 ACES WRECKER SERVICE, LLC",,0657711VSF,WALLISVILLE,TX,77597
"3 ACES WRECKER SERVICE, LLC",,0657712VSF,WALLISVILLE,TX,77597
"3 ACES WRECKER SERVICE, LLC",,0657713VSF,WALLISVILLE,TX,77597
